,complete,error,sol,sub_data,u,u_nom
103,False,False,"[[0.4851188 ]
 [0.06017026]]","{'bfs': Array([0.0136407 , 0.20920353, 0.01643511], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.4851188  0.06017026],[ 3.4054537  -0.85088134]
104,False,False,"[[0.47872186]
 [0.05864276]]","{'bfs': Array([0.01417108, 0.20815454, 0.01635095], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.47872186 0.05864276],[ 3.4028697  -0.85334885]
105,False,False,"[[0.47313386]
 [0.05740437]]","{'bfs': Array([0.01471207, 0.20711108, 0.01626745], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.47313386 0.05740437],[ 3.4003034  -0.85575306]
106,False,False,"[[0.46722522]
 [0.05600162]]","{'bfs': Array([0.01526441, 0.20607285, 0.01618429], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.46722522 0.05600162],[ 3.3977523 -0.8581059]
107,False,False,"[[0.46206614]
 [0.05487088]]","{'bfs': Array([0.01582753, 0.20503996, 0.01610177], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.46206614 0.05487088],[ 3.3952181  -0.86040056]
108,False,False,"[[0.4565799 ]
 [0.05357475]]","{'bfs': Array([0.01640219, 0.20401253, 0.01601956], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.4565799  0.05357475],[ 3.3926983 -0.8626479]
109,False,False,"[[0.45180377]
 [0.0525407 ]]","{'bfs': Array([0.01698778, 0.20299026, 0.01593795], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.45180377 0.0525407 ],[ 3.3901944 -0.8648417]
110,False,False,"[[0.4466852 ]
 [0.05133635]]","{'bfs': Array([0.01758507, 0.20197313, 0.01585663], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.4466852  0.05133635],[ 3.3877053 -0.8669926]
111,False,False,"[[0.44224998]
 [0.05038884]]","{'bfs': Array([0.01819345, 0.20096128, 0.01577593], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.44224998 0.05038884],[ 3.3852296 -0.8690932]
112,False,False,"[[0.4374536 ]
 [0.04926348]]","{'bfs': Array([0.01881369, 0.19995451, 0.01569548], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.4374536  0.04926348],[ 3.3827684 -0.8711548]
113,False,False,"[[0.43333417]
 [0.04839773]]","{'bfs': Array([0.01944514, 0.19895303, 0.01561562], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.43333417 0.04839773],[ 3.3803203  -0.87316966]
114,False,False,"[[0.4288203 ]
 [0.04734096]]","{'bfs': Array([0.02008868, 0.19795647, 0.015536  ], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.4288203  0.04734096],[ 3.3778858 -0.8751484]
115,False,False,"[[0.42498726]
 [0.04655018]]","{'bfs': Array([0.02074353, 0.19696511, 0.01545695], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.42498726 0.04655018],[ 3.375464  -0.8770834]
